Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Datetime,,,,,,
2026-04-23 03:45:00+00:00,5123.5,5123.5,5125.0,5110.0,5125.0,0
2026-04-23 03:46:00+00:00,5131.5,5131.5,5136.5,5119.0,5124.0,6963
2026-04-23 03:47:00+00:00,5145.0,5145.0,5145.0,5132.0,5132.0,3022
2026-04-23 03:48:00+00:00,5125.0,5125.0,5144.0,5125.0,5144.0,3481
2026-04-23 03:49:00+00:00,5123.5,5123.5,5130.0,5123.0,5130.0,3875
2026-04-23 03:50:00+00:00,5142.5,5142.5,5142.5,5121.0,5121.5,2583
2026-04-23 03:51:00+00:00,5148.0,5148.0,5148.0,5137.5,5144.0,1904
2026-04-23 03:52:00+00:00,5138.0,5138.0,5146.5,5135.5,5146.5,1697
2026-04-23 03:53:00+00:00,5135.0,5135.0,5140.0,5134.5,5137.5,2317
2026-04-23 03:54:00+00:00,5129.0,5129.0,5135.0,5129.0,5134.5,951
2026-04-23 03:55:00+00:00,5127.0,5127.0,5132.0,5127.0,5129.0,1485
2026-04-23 03:56:00+00:00,5129.0,5129.0,5132.0,5128.0,5130.0,1401
2026-04-23 03:57:00+00:00,5131.0,5131.0,5133.5,5129.0,5130.5,855
2026-04-23 03:58:00+00:00,5130.0,5130.0,5133.5,5130.0,5133.5,709
2026-04-23 03:59:00+00:00,5129.5,5129.5,5132.0,5129.5,5130.5,1209
2026-04-23 04:00:00+00:00,5128.5,5128.5,5129.5,5120.0,5126.5,2155
2026-04-23 04:01:00+00:00,5125.0,5125.0,5135.0,5124.5,5127.5,1744
2026-04-23 04:02:00+00:00,5127.5,5127.5,5127.5,5124.0,5124.0,556
2026-04-23 04:03:00+00:00,5125.5,5125.5,5128.5,5119.5,5128.5,2337
2026-04-23 04:04:00+00:00,5121.5,5121.5,5126.0,5121.5,5124.5,614
2026-04-23 04:05:00+00:00,5119.5,5119.5,5122.0,5119.5,5122.0,2322
2026-04-23 04:06:00+00:00,5120.0,5120.0,5124.5,5115.5,5115.5,892
2026-04-23 04:07:00+00:00,5122.0,5122.0,5123.5,5116.5,5116.5,714
2026-04-23 04:08:00+00:00,5118.5,5118.5,5121.0,5114.0,5121.0,5233
2026-04-23 04:09:00+00:00,5116.5,5116.5,5120.0,5116.5,5119.5,668
2026-04-23 04:10:00+00:00,5114.0,5114.0,5118.5,5114.0,5116.5,687
2026-04-23 04:11:00+00:00,5112.5,5112.5,5115.0,5111.5,5115.0,1402
2026-04-23 04:12:00+00:00,5112.0,5112.0,5116.0,5112.0,5114.5,1060
2026-04-23 04:13:00+00:00,5119.0,5119.0,5119.0,5112.5,5113.0,661
2026-04-23 04:14:00+00:00,5123.0,5123.0,5123.0,5117.0,5117.0,729
2026-04-23 04:15:00+00:00,5123.0,5123.0,5123.5,5119.0,5120.5,1584
2026-04-23 04:16:00+00:00,5124.0,5124.0,5124.0,5121.0,5123.0,927
2026-04-23 04:17:00+00:00,5129.0,5129.0,5129.0,5124.0,5124.0,719
2026-04-23 04:18:00+00:00,5131.0,5131.0,5131.0,5127.5,5127.5,1614
2026-04-23 04:19:00+00:00,5129.5,5129.5,5132.5,5129.5,5130.5,753
2026-04-23 04:20:00+00:00,5127.5,5127.5,5130.5,5127.5,5130.0,476
2026-04-23 04:21:00+00:00,5127.0,5127.0,5127.0,5126.0,5127.0,571
2026-04-23 04:22:00+00:00,5128.5,5128.5,5128.5,5127.0,5127.0,385
2026-04-23 04:23:00+00:00,5130.0,5130.0,5133.0,5129.5,5129.5,1147
2026-04-23 04:24:00+00:00,5131.5,5131.5,5133.5,5130.0,5132.0,927
2026-04-23 04:25:00+00:00,5127.5,5127.5,5132.0,5125.5,5132.0,1493
2026-04-23 04:26:00+00:00,5130.0,5130.0,5130.0,5127.0,5127.0,410
2026-04-23 04:27:00+00:00,5129.5,5129.5,5130.0,5129.5,5130.0,607
2026-04-23 04:28:00+00:00,5128.0,5128.0,5134.0,5128.0,5128.0,1099
2026-04-23 04:29:00+00:00,5130.0,5130.0,5130.5,5128.0,5130.5,921
2026-04-23 04:30:00+00:00,5125.5,5125.5,5129.5,5125.0,5129.5,1296
2026-04-23 04:31:00+00:00,5124.5,5124.5,5126.5,5120.0,5126.5,1358
2026-04-23 04:32:00+00:00,5124.5,5124.5,5126.0,5123.0,5123.0,727
2026-04-23 04:33:00+00:00,5128.0,5128.0,5128.0,5122.0,5125.0,911
2026-04-23 04:34:00+00:00,5130.0,5130.0,5132.0,5128.0,5128.0,999
2026-04-23 04:35:00+00:00,5128.0,5128.0,5130.0,5127.5,5130.0,811
2026-04-23 04:36:00+00:00,5128.0,5128.0,5128.0,5123.5,5128.0,1033
2026-04-23 04:37:00+00:00,5125.0,5125.0,5129.0,5124.0,5126.0,688
2026-04-23 04:38:00+00:00,5128.0,5128.0,5128.5,5123.0,5124.0,1048
2026-04-23 04:39:00+00:00,5127.0,5127.0,5127.0,5125.0,5125.0,509
2026-04-23 04:40:00+00:00,5126.5,5126.5,5127.5,5125.0,5127.0,623
2026-04-23 04:41:00+00:00,5127.5,5127.5,5127.5,5125.0,5126.5,603
2026-04-23 04:42:00+00:00,5125.0,5125.0,5129.0,5125.0,5129.0,463
2026-04-23 04:43:00+00:00,5123.5,5123.5,5125.0,5120.5,5125.0,802
2026-04-23 04:44:00+00:00,5122.0,5122.0,5123.5,5121.5,5122.0,538
2026-04-23 04:45:00+00:00,5104.0,5104.0,5118.5,5102.0,5118.5,5594
2026-04-23 04:46:00+00:00,5105.5,5105.5,5105.5,5102.0,5104.0,1257
2026-04-23 04:47:00+00:00,5096.5,5096.5,5105.5,5096.5,5105.5,4639
2026-04-23 04:48:00+00:00,5089.5,5089.5,5096.5,5086.5,5096.5,2277
2026-04-23 04:49:00+00:00,5095.5,5095.5,5097.0,5089.0,5089.0,1338
2026-04-23 04:50:00+00:00,5098.0,5098.0,5098.0,5094.5,5095.5,600
2026-04-23 04:51:00+00:00,5094.0,5094.0,5100.0,5092.5,5098.0,967
2026-04-23 04:52:00+00:00,5093.5,5093.5,5095.0,5092.5,5095.0,118
2026-04-23 04:53:00+00:00,5094.5,5094.5,5096.0,5093.5,5093.5,616
2026-04-23 04:54:00+00:00,5092.5,5092.5,5096.5,5092.5,5094.5,1185
2026-04-23 04:55:00+00:00,5091.0,5091.0,5093.5,5090.0,5093.5,1248
2026-04-23 04:56:00+00:00,5093.5,5093.5,5093.5,5090.5,5092.0,776
2026-04-23 04:57:00+00:00,5095.5,5095.5,5097.0,5093.5,5097.0,558
2026-04-23 04:58:00+00:00,5095.5,5095.5,5096.0,5093.0,5094.5,648
2026-04-23 04:59:00+00:00,5091.5,5091.5,5095.0,5090.5,5094.0,721
2026-04-23 05:00:00+00:00,5089.5,5089.5,5091.5,5087.5,5091.5,2398
2026-04-23 05:01:00+00:00,5090.0,5090.0,5091.0,5089.0,5090.5,292
2026-04-23 05:02:00+00:00,5088.0,5088.0,5091.0,5086.5,5091.0,845
2026-04-23 05:03:00+00:00,5088.0,5088.0,5090.0,5086.5,5088.0,700
2026-04-23 05:04:00+00:00,5090.0,5090.0,5091.0,5087.0,5087.0,367
2026-04-23 05:05:00+00:00,5088.0,5088.0,5090.0,5087.0,5090.0,636
2026-04-23 05:06:00+00:00,5086.0,5086.0,5088.0,5086.0,5088.0,325
