Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Datetime,,,,,,
2026-04-23 03:45:00+00:00,13144.0,13144.0,13250.0,13140.0,13250.0,0
2026-04-23 03:46:00+00:00,13168.0,13168.0,13168.0,13129.0,13149.0,4495
2026-04-23 03:47:00+00:00,13176.0,13176.0,13184.0,13162.0,13162.0,3802
2026-04-23 03:48:00+00:00,13149.0,13149.0,13160.0,13137.0,13160.0,3494
2026-04-23 03:49:00+00:00,13154.0,13154.0,13156.0,13140.0,13146.0,2341
2026-04-23 03:50:00+00:00,13222.0,13222.0,13222.0,13152.0,13152.0,8786
2026-04-23 03:51:00+00:00,13242.0,13242.0,13252.0,13214.0,13226.0,8357
2026-04-23 03:52:00+00:00,13210.0,13210.0,13255.0,13208.0,13242.0,5422
2026-04-23 03:53:00+00:00,13234.0,13234.0,13240.0,13208.0,13210.0,11389
2026-04-23 03:54:00+00:00,13234.0,13234.0,13244.0,13220.0,13235.0,11445
2026-04-23 03:55:00+00:00,13200.0,13200.0,13236.0,13200.0,13236.0,9511
2026-04-23 03:56:00+00:00,13223.0,13223.0,13223.0,13200.0,13200.0,7583
2026-04-23 03:57:00+00:00,13227.0,13227.0,13240.0,13215.0,13224.0,9876
2026-04-23 03:58:00+00:00,13281.0,13281.0,13285.0,13226.0,13228.0,10664
2026-04-23 03:59:00+00:00,13300.0,13300.0,13305.0,13279.0,13279.0,8253
2026-04-23 04:00:00+00:00,13311.0,13311.0,13321.0,13288.0,13293.0,9050
2026-04-23 04:01:00+00:00,13313.0,13313.0,13350.0,13309.0,13309.0,9324
2026-04-23 04:02:00+00:00,13335.0,13335.0,13335.0,13310.0,13313.0,8799
2026-04-23 04:03:00+00:00,13313.0,13313.0,13343.0,13273.0,13336.0,15790
2026-04-23 04:04:00+00:00,13295.0,13295.0,13322.0,13290.0,13307.0,2324
2026-04-23 04:05:00+00:00,13243.0,13243.0,13293.0,13243.0,13291.0,1902
2026-04-23 04:06:00+00:00,13250.0,13250.0,13269.0,13238.0,13245.0,2820
2026-04-23 04:07:00+00:00,13256.0,13256.0,13258.0,13247.0,13255.0,1361
2026-04-23 04:08:00+00:00,13256.0,13256.0,13256.0,13244.0,13253.0,846
2026-04-23 04:09:00+00:00,13245.0,13245.0,13264.0,13244.0,13262.0,1032
2026-04-23 04:10:00+00:00,13245.0,13245.0,13254.0,13241.0,13245.0,897
2026-04-23 04:11:00+00:00,13254.0,13254.0,13259.0,13244.0,13244.0,742
2026-04-23 04:12:00+00:00,13237.0,13237.0,13254.0,13235.0,13253.0,811
2026-04-23 04:13:00+00:00,13245.0,13245.0,13245.0,13242.0,13242.0,340
2026-04-23 04:14:00+00:00,13255.0,13255.0,13255.0,13239.0,13244.0,601
2026-04-23 04:15:00+00:00,13248.0,13248.0,13251.0,13246.0,13251.0,387
2026-04-23 04:16:00+00:00,13274.0,13274.0,13274.0,13248.0,13251.0,910
2026-04-23 04:17:00+00:00,13271.0,13271.0,13291.0,13270.0,13274.0,2524
2026-04-23 04:18:00+00:00,13282.0,13282.0,13284.0,13271.0,13271.0,398
2026-04-23 04:19:00+00:00,13279.0,13279.0,13286.0,13279.0,13286.0,235
2026-04-23 04:20:00+00:00,13258.0,13258.0,13275.0,13258.0,13275.0,729
2026-04-23 04:21:00+00:00,13278.0,13278.0,13280.0,13258.0,13258.0,2084
2026-04-23 04:22:00+00:00,13299.0,13299.0,13300.0,13282.0,13282.0,889
2026-04-23 04:23:00+00:00,13306.0,13306.0,13310.0,13300.0,13300.0,1043
2026-04-23 04:24:00+00:00,13282.0,13282.0,13306.0,13282.0,13306.0,450
2026-04-23 04:25:00+00:00,13287.0,13287.0,13288.0,13282.0,13282.0,912
2026-04-23 04:26:00+00:00,13290.0,13290.0,13291.0,13287.0,13287.0,207
2026-04-23 04:27:00+00:00,13289.0,13289.0,13297.0,13286.0,13295.0,746
2026-04-23 04:28:00+00:00,13302.0,13302.0,13304.0,13288.0,13288.0,715
2026-04-23 04:29:00+00:00,13296.0,13296.0,13303.0,13296.0,13302.0,621
2026-04-23 04:30:00+00:00,13289.0,13289.0,13299.0,13283.0,13299.0,780
2026-04-23 04:31:00+00:00,13281.0,13281.0,13290.0,13276.0,13288.0,680
2026-04-23 04:32:00+00:00,13277.0,13277.0,13286.0,13277.0,13284.0,561
2026-04-23 04:33:00+00:00,13298.0,13298.0,13298.0,13283.0,13283.0,1204
2026-04-23 04:34:00+00:00,13313.0,13313.0,13313.0,13298.0,13298.0,795
2026-04-23 04:35:00+00:00,13311.0,13311.0,13313.0,13308.0,13313.0,650
2026-04-23 04:36:00+00:00,13309.0,13309.0,13310.0,13306.0,13308.0,260
2026-04-23 04:37:00+00:00,13313.0,13313.0,13313.0,13303.0,13307.0,1059
2026-04-23 04:38:00+00:00,13319.0,13319.0,13325.0,13311.0,13311.0,1374
2026-04-23 04:39:00+00:00,13315.0,13315.0,13316.0,13311.0,13313.0,334
2026-04-23 04:40:00+00:00,13316.0,13316.0,13316.0,13310.0,13316.0,969
2026-04-23 04:41:00+00:00,13307.0,13307.0,13316.0,13307.0,13316.0,308
2026-04-23 04:42:00+00:00,13288.0,13288.0,13311.0,13286.0,13307.0,656
2026-04-23 04:43:00+00:00,13271.0,13271.0,13288.0,13266.0,13288.0,817
2026-04-23 04:44:00+00:00,13276.0,13276.0,13281.0,13265.0,13265.0,807
2026-04-23 04:45:00+00:00,13275.0,13275.0,13275.0,13267.0,13272.0,1601
2026-04-23 04:46:00+00:00,13288.0,13288.0,13291.0,13270.0,13275.0,263
2026-04-23 04:47:00+00:00,13287.0,13287.0,13293.0,13285.0,13290.0,413
2026-04-23 04:48:00+00:00,13278.0,13278.0,13283.0,13276.0,13280.0,259
2026-04-23 04:49:00+00:00,13281.0,13281.0,13281.0,13275.0,13277.0,328
2026-04-23 04:50:00+00:00,13279.0,13279.0,13285.0,13272.0,13281.0,252
2026-04-23 04:51:00+00:00,13261.0,13261.0,13282.0,13261.0,13275.0,1078
2026-04-23 04:52:00+00:00,13265.0,13265.0,13268.0,13260.0,13261.0,649
2026-04-23 04:53:00+00:00,13265.0,13265.0,13267.0,13260.0,13266.0,316
2026-04-23 04:54:00+00:00,13243.0,13243.0,13265.0,13240.0,13265.0,2127
2026-04-23 04:55:00+00:00,13250.0,13250.0,13251.0,13232.0,13237.0,2174
2026-04-23 04:56:00+00:00,13238.0,13238.0,13253.0,13230.0,13250.0,1282
2026-04-23 04:57:00+00:00,13211.0,13211.0,13240.0,13211.0,13238.0,1584
2026-04-23 04:58:00+00:00,13216.0,13216.0,13218.0,13212.0,13216.0,1025
2026-04-23 04:59:00+00:00,13203.0,13203.0,13217.0,13201.0,13217.0,1130
2026-04-23 05:00:00+00:00,13198.0,13198.0,13206.0,13192.0,13204.0,1891
2026-04-23 05:01:00+00:00,13189.0,13189.0,13201.0,13184.0,13198.0,1041
2026-04-23 05:02:00+00:00,13187.0,13187.0,13190.0,13180.0,13183.0,1333
2026-04-23 05:03:00+00:00,13169.0,13169.0,13188.0,13166.0,13187.0,2434
2026-04-23 05:04:00+00:00,13180.0,13180.0,13180.0,13162.0,13170.0,2210
2026-04-23 05:05:00+00:00,13167.0,13167.0,13185.0,13161.0,13185.0,949
2026-04-23 05:06:00+00:00,13168.0,13168.0,13168.0,13160.0,13168.0,1625
2026-04-23 05:07:00+00:00,13168.0,13168.0,13175.0,13161.0,13174.0,852
